14.6,29.8,5,11.8,43,21.4,58,2,20,1022.1,29.2,31,3,19,1019.5
16.9,27.5,9.8,13.1,39,22.7,44,3,22,1023.5,25,46,4,20,1022.5
15.7,26.6,8.6,13.2,37,22.5,51,6,20,1025.1,23.2,47,7,19,1023.4
15.5,29.3,8.8,13.2,33,21.7,46,1,20,1022.8,25.4,43,1,22,1020.4
16.2,31.5,9.8,13.1,35,23.7,29,1,19,1018.9,26.5,36,1,24,1016.1
16.1,30.6,11,13,46,22.7,47,4,26,1013.5,26.9,44,3,20,1010.6
14.1,23.9,8,7.2,37,18.9,62,7,6,1013.4,23.6,57,3,20,1012.6
16.3,22.7,5.8,3.4,28,17.3,82,8,7,1016.6,18.7,87,7,13,1015
17.3,23,2.6,0.2,39,18.5,94,8,7,1013.4,22.5,67,8,17,1010.3
15.9,22.5,2,8.3,48,19.1,77,7,7,1013.4,21.3,61,3,24,1014.8
13.7,19.9,6.4,6.9,30,15.6,80,7,13,1023.6,19.2,63,1,19,1022.7
15.3,24.1,6.4,10.2,33,18.8,65,5,17,1022,22.2,63,7,22,1017.5
16.7,33.1,8,10.1,76,24.1,48,7,24,1012,28.8,42,7,19,1007.5
18.9,23.5,7.8,0.3,59,22.9,60,8,7,1002.7,15.3,88,8,26,1003.4
11.5,13.3,0.4,0,57,11.9,91,8,30,1012.1,12.9,81,8,31,1010.7
8.8,12.9,2.4,0,72,9.3,92,8,33,1004.4,10.1,85,8,43,1003.6
9.3,15.6,2,4.4,43,12.7,55,7,20,1015,14.9,52,7,28,1016.5
10.9,17.8,3.2,5,48,13.3,63,7,6,1018.3,17,53,7,19,1016.1
10,17.7,3.4,1.3,31,14.5,69,7,6,1010.6,16.7,67,7,17,1005.9
12.4,20.9,5.4,3.2,50,16.8,58,6,15,998.3,20.3,46,7,24,997.8
8.5,19.9,3.8,10.5,48,13.3,53,5,13,1008.8,17.8,35,4,22,1008.8
13.2,22.5,6.8,6.6,63,17.4,64,7,17,1005.9,21.5,33,4,15,1009.4
14.9,24.7,7.4,9,61,19.6,47,1,35,1014.7,23.2,37,7,30,1014.3
15.1,21.6,7.8,4.8,57,15.9,64,7,11,1017.4,21,52,7,19,1015.8
12,23.7,4,10.2,35,19.2,53,2,7,1015.8,22.7,55,5,20,1013.6
15.3,26.3,7.2,3.6,35,20.3,62,7,13,1009.3,25.7,40,7,9,1005.1
19.6,26.7,6,9.8,59,22.8,54,7,19,998.1,21.6,36,5,24,999.4
11.6,23,6.8,11.5,41,15.7,46,7,26,1011,20.4,44,2,17,1007
13.5,21.8,8.8,9.7,52,19,50,7,19,1008.7,17.1,74,7,19,1011.8
10.7,19.4,4,9.9,35,16.7,48,3,9,1021,18.2,50,3,22,1020.6
12.8,24.4,6.6,12,41,19.1,60,6,15,1013.6,22.2,47,1,20,1010.7
15,31.1,6.8,4.8,70,18.5,74,7,15,1003.6,28.5,37,6,24,994
18.4,21.9,9,11.5,85,20.9,46,2,39,994.2,20.7,33,3,35,999.3
12.8,23.8,8,7.5,52,15.4,54,7,24,1012.3,21.8,41,6,28,1010.3
15.2,24.8,4.4,7.2,46,17.9,54,7,15,1011.8,23.6,39,4,15,1008.5
14.2,24.2,10.4,8.8,54,18.9,52,7,19,1003.1,22.7,39,7,26,999.9
10.9,18.7,7.8,9.5,48,14.8,38,1,11,1005.9,17.4,41,6,20,1007.8
10.8,21.9,5.6,5.8,46,15.2,61,5,30,1016.5,21,44,7,13,1016.8
12.8,20.9,4.2,11.4,31,15.9,80,7,7,1020.8,19.4,63,8,20,1018.4
14,31.4,6.4,12.6,52,20.5,52,7,22,1014.9,29.8,31,7,13,1008.8
20,32.3,10.6,10.9,57,26.6,47,1,22,1006.8,20.9,68,1,31,1007.1
15.1,24.2,8.8,9.7,37,16.8,73,7,7,1009.5,22.4,59,1,19,1003.6
14.6,19.1,8.8,9.1,61,15.6,41,3,9,996.1,17.4,35,4,20,999.5
13.6,26.7,7.6,12.8,74,18.6,51,7,48,1002.9,26.1,33,5,35,999.6
15,22.9,11,10.3,54,17.1,59,7,24,1001,21,41,6,28,1002.1
13.3,23.6,8,7.4,54,15.7,56,7,17,1004.2,21.5,36,5,24,1001.8
10.3,21.9,6.6,9.6,50,16.1,42,6,9,1011.1,19.1,41,7,22,1011.1
15.6,26.5,6.8,4.7,59,17.1,63,7,13,1011.3,26.1,31,5,30,1010
13.8,22.3,5.6,10.3,31,16.2,71,6,9,1015.5,19.5,58,4,15,1014
15.7,35.8,5.6,2.4,72,22.2,40,7,24,1006.1,33.8,21,7,24,999.1
13.1,22.6,12,12.3,43,17.2,47,1,13,1012.9,21.9,38,1,19,1012
14.8,26.6,8,12,48,19.4,49,4,22,1010.1,25,33,6,13,1009
14.2,19.4,8.4,8.4,46,16.7,69,4,13,1010.8,17.3,61,6,24,1012.8
11.8,21,4.8,8.8,30,15.7,71,7,9,1021.5,20.1,53,3,20,1020.6
13.7,28.3,8.8,12.5,43,20.5,53,4,19,1019.1,26,40,1,30,1014.6
19.1,29.1,8.4,1.3,67,21.6,56,7,24,1005.7,27.5,48,7,26,996.1
13.5,15.8,6,2,67,13.5,75,7,9,999.6,11.8,84,7,19,1000.3
9,19.1,3.2,6.5,57,14.6,50,7,19,1014.9,17.4,45,7,24,1013.7
14.3,20,5.4,10.5,57,17,56,7,22,1018.3,17.3,48,1,35,1021
9.7,20.2,8,12.2,31,15,52,2,13,1026.9,18.3,46,1,17,1023.4
10.2,20.6,6.6,12.7,41,16.8,65,7,7,1020.7,19.5,59,5,26,1017.4
12.1,31.2,6,9.1,44,18,67,7,13,1013.8,27.9,19,2,15,1010.1
18,29.5,9,8.9,50,29.4,24,4,9,1005.9,19.6,69,6,24,1011.4
13.6,20.8,7.4,6.4,33,16.2,78,7,9,1017.3,19.8,58,1,20,1016.8
16,22.5,6.6,7.5,30,17.8,77,7,2,1014.1,21.8,62,8,19,1011
15.8,24.6,4,11.6,39,21.3,65,2,9,1004.2,22,56,1,20,1003.7
13.3,27.2,11,7.4,48,17.1,56,7,19,1008.3,26.5,29,7,19,1007.3
13.4,28.1,7.4,12.2,48,18.4,57,4,7,1008.6,27.3,29,3,22,1007.4
15.1,26.9,8.2,10.8,39,19.3,73,6,6,1013,25.8,54,5,22,1008.3
17.3,21.8,7.8,6.1,31,17.6,79,7,13,1012.9,21.1,53,7,19,1012.6
14.8,28.1,4.8,10.3,28,21,63,1,15,1013.5,27.6,56,1,20,1011.6
20.9,36.7,6.8,12.6,43,26.4,58,1,26,1008.8,30.9,52,1,19,1004.6
23.9,26.1,10.6,0.9,37,26.1,62,7,13,1002.6,22.1,83,8,20,1004
12.4,20.6,3.2,4.8,65,15.5,52,7,9,1009.9,15.6,57,7,20,1007.8
8.4,16.1,3.4,10.1,61,12.5,55,5,26,1012.2,14.6,48,6,22,1015.3
8.6,21.6,7,2.9,46,14.6,51,3,15,1016.9,21,44,7,20,1015.7
13.9,20.3,4,1.6,39,17,64,7,7,1020.3,15.9,82,7,20,1021.2
11.5,21.2,3.6,10.9,41,17.2,64,4,7,1025.5,20.2,62,1,24,1024.2
14.6,19.2,7,10.7,39,15.6,73,7,13,1024.5,18.1,64,3,24,1022.9
11.5,20.4,6.4,12.4,41,18,52,1,4,1021.9,19.1,55,1,26,1020.5
11.6,24.5,7.8,12.9,33,17.2,63,1,11,1022,23.8,54,1,20,1020
15.6,26.6,7.6,12.5,37,19.6,68,6,15,1019.5,24,51,1,22,1016.8
18.4,22,7.2,0.5,31,18.5,80,8,9,1013.8,20.1,74,7,9,1013
16.5,23.1,3.2,6.8,31,17.8,83,8,6,1016.4,22.5,58,2,20,1014.7
17.2,30.5,5.4,8,67,22.6,52,7,26,1006,29,38,7,30,997.5
13.4,20.3,8,8.1,48,14.2,50,5,13,1004.7,18.7,40,4,19,1005.1
9,23,5.6,11.2,44,14.7,55,5,28,1005.2,17.7,75,7,19,1006.8
12.9,20.9,5.6,8.8,30,14.9,74,7,6,1012.7,20.1,49,3,19,1009.2
14.7,18.8,7.8,6.9,98,18.1,66,7,26,989.3,15.4,59,7,35,992.8
9.9,21.2,7,7.2,83,15.2,68,7,11,999.7,20.3,37,7,43,998.2
11.2,17.8,6.4,7.8,74,13.5,49,7,33,1003.5,16.3,48,7,15,1005.4
